created_at,id_str,full_text,user.location,entities.hashtags,retweeted_status.full_text
Wed Oct 26 20:35:05 +0000 2022,1585369447795392513,"RT @lazarorosa25: Figurinhas da Copa do Mundo do Jair!

JAIR EM DESESPERO! https://t.co/RPKWjVbeBJ",📖: 97/40,[],"Figurinhas da Copa do Mundo do Jair!

JAIR EM DESESPERO! https://t.co/RPKWjVbeBJ"
Wed Oct 26 20:35:05 +0000 2022,1585369447736709121,@DaniloBalas Acho q o bozo errou o time. Chegou meio atrasado,,[],
Wed Oct 26 20:35:05 +0000 2022,1585369447577300992,"RT @CotrimLayane: Bolsonaro foi na minha cidade hoje, olhem aqui ☝🏻 https://t.co/Z3QukbRXEH",,[],"Bolsonaro foi na minha cidade hoje, olhem aqui ☝🏻 https://t.co/Z3QukbRXEH"
Wed Oct 26 20:35:05 +0000 2022,1585369447572783105,"RT @fabifbbr: BolsoNitro pode chamar as 4 linhas novamente! 
Eleições sem isonomia e com manipulação é impugnação de chapa, polícia federal…",,[],"BolsoNitro pode chamar as 4 linhas novamente! 
Eleições sem isonomia e com manipulação é impugnação de chapa, polícia federal, ministério público federal e eleitoral e o Procurador Geral da República, todos tem o dever com a sociedade, não é com o Bolsonaro. 
Respeitem o povo! https://t.co/VKRN8RQvkT"
Wed Oct 26 20:35:05 +0000 2022,1585369447178842112,RT @JcndoAmaral: Por enquanto já está comprovado fraude contra a campanha do Bolsonaro antes do segundo turno. O primeiro turno está sendo…,"Goiânia, Brasil",[],Por enquanto já está comprovado fraude contra a campanha do Bolsonaro antes do segundo turno. O primeiro turno está sendo auditado. Quem são os responsáveis pelas fraudes e como Bolsonaro será ressarcido?
Wed Oct 26 20:35:05 +0000 2022,1585369446922625025,"RT @UOLNoticias: EXTREMA POBREZA
 
Sob Bolsonaro, CadÚnico ganha mais 10 milhões de pessoas na miséria 
 
São 49 milhões de brasileiros nes…","Descalvado, Brasil",[],"EXTREMA POBREZA
 
Sob Bolsonaro, CadÚnico ganha mais 10 milhões de pessoas na miséria 
 
São 49 milhões de brasileiros nessa situação, ou seja, 23% da população. Esse é o maior número desde a criação do cadastro, em 2001 🧵 https://t.co/IDg8JPuLc1"
Wed Oct 26 20:35:05 +0000 2022,1585369446851674112,"RT @luaultrafiell: Só confirmou o que já sabíamos! Números inflados, views pagos que só mostram uma coisa, enquanto eles precisam pagar pra…",São Paulo,[],"Só confirmou o que já sabíamos! Números inflados, views pagos que só mostram uma coisa, enquanto eles precisam pagar pra terem público, Bolsonaro tem alcance completamente orgânico. https://t.co/a3apg9ugdn"
Wed Oct 26 20:35:05 +0000 2022,1585369446721671171,"RT @saritacoelho: Cai por terra a narrativa de que Bolsonaro usa o chamado ""orçamento secreto"" para comprar de votos. Um dos maiores benefi…",,[],"Cai por terra a narrativa de que Bolsonaro usa o chamado ""orçamento secreto"" para comprar de votos. Um dos maiores beneficiários das emendas de relator é notório apoiador do Lula e antibolsonarista. https://t.co/dxAmWrYCZg"
Wed Oct 26 20:35:05 +0000 2022,1585369446700691456,RT @taoquei1: O desespero com a gravidade do #RadiolaoDoPT é tão grande que aparentemente os caras vão tentar aliciar menores de idade em s…,,"[{'text': 'RadiolaoDoPT', 'indices': [45, 58]}]",O desespero com a gravidade do #RadiolaoDoPT é tão grande que aparentemente os caras vão tentar aliciar menores de idade em situação de vulnerabilidade pra tentarem dizer que Bolsonaro estuprava essas menores. O problema do malandro é achar que só ele fez filho esperto. CHOCADA.
Wed Oct 26 20:35:05 +0000 2022,1585369446583271425,RT @heytauat: URGENTE: Jair em desespero defende adiar o 2º turno porque sabe que vai perder pro Lula. O choro é impresso e auditável? http…,Brasil,[],URGENTE: Jair em desespero defende adiar o 2º turno porque sabe que vai perder pro Lula. O choro é impresso e auditável? https://t.co/qvxjIuWGNz
Wed Oct 26 20:35:05 +0000 2022,1585369446532943873,"RT @PeterBrun11: @Aleciom1 @AndreJanonesAdv JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR…","São Paulo, Brasil",[],"@Aleciom1 @AndreJanonesAdv JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO
JAIR EM DESESPERO"
Wed Oct 26 20:35:05 +0000 2022,1585369446268702721,"RT @BiodiversidadeB: 4 anos de governo Bolsonaro, 4 anos de desastre ambiental no Brasil. Você pode ter esquecido, mas o estrago foi grande…","Cariacica, Brasil",[],"4 anos de governo Bolsonaro, 4 anos de desastre ambiental no Brasil. Você pode ter esquecido, mas o estrago foi grande! Veja aqui agora nessa sequência 🧶 
Compartilhe! https://t.co/UpQMImzhcs"
Wed Oct 26 20:35:05 +0000 2022,1585369445538856961,RT @LuaLubra23: @AndreJanonesAdv Tá  na hora do Jair https://t.co/3mO8t7DGja,,[],@AndreJanonesAdv Tá  na hora do Jair https://t.co/3mO8t7DGja
