created_at,id_str,full_text,user.location,entities.hashtags,retweeted_status.full_text
Mon Oct 24 23:59:59 +0000 2022,1584696235050823680,"Genteeeee! 🤨🤔😱
#Noticias #Brasil #Eleicoes2022 https://t.co/WsBKPCft0Z",Narnia,"[{'text': 'Noticias', 'indices': [15, 24]}, {'text': 'Brasil', 'indices': [25, 32]}, {'text': 'Eleicoes2022', 'indices': [33, 46]}]",
Mon Oct 24 23:59:57 +0000 2022,1584696227777478656,RT @choquei: 🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022…,,"[{'text': 'Eleições2022', 'indices': [126, 139]}]",🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022 https://t.co/ssdwmFvo4T
Mon Oct 24 23:59:56 +0000 2022,1584696222102614016,"RT @UOLNoticias: IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈",,"[{'text': 'Eleições2022', 'indices': [93, 106]}, {'text': 'UOLEleições2022', 'indices': [107, 123]}]","IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈"
Mon Oct 24 23:59:55 +0000 2022,1584696219720634368,RT @portalR7: Bolsonaro diz que Brasil é o 7º país mais digitalizado do mundo https://t.co/VtwAgxULhj #R7 #portalr7 #SabatinaNaRecord #OVot…,"Fortaleza, Brasil","[{'text': 'R7', 'indices': [102, 105]}, {'text': 'portalr7', 'indices': [106, 115]}, {'text': 'SabatinaNaRecord', 'indices': [116, 133]}]",Bolsonaro diz que Brasil é o 7º país mais digitalizado do mundo https://t.co/VtwAgxULhj #R7 #portalr7 #SabatinaNaRecord #OVotoNaRecord #Eleições2022 https://t.co/XFyg9SpqRZ
Mon Oct 24 23:59:53 +0000 2022,1584696211252318208,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF","Rio Grande do Norte, Brasil","[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:59:53 +0000 2022,1584696210526699520,RT @choquei: 🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022…,New York/ Japan,"[{'text': 'Eleições2022', 'indices': [126, 139]}]",🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022 https://t.co/ssdwmFvo4T
Mon Oct 24 23:59:52 +0000 2022,1584696204369485824,"RT @choquei: 🚨GRAVE: Campanha do PT de Santa Catarina divulga áudio de Luciano Hang, dono da Havan, pedindo para que Secretário da Fazenda…",,[],"🚨GRAVE: Campanha do PT de Santa Catarina divulga áudio de Luciano Hang, dono da Havan, pedindo para que Secretário da Fazenda atrase o salário dos professores: “Demita metade. Demita metade dos diabo desses professores”. #Eleições2022

 https://t.co/agLTMTUB4X"
Mon Oct 24 23:59:50 +0000 2022,1584696199898337282,RT @marioadolfo: Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5hai…,,"[{'text': 'Eleiçoes2022', 'indices': [108, 121]}]",Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5haiGKolhC
Mon Oct 24 23:59:50 +0000 2022,1584696198513844224,"RT @opovo: Liderados por Tasso, empresários defendem voto em Lula ""em defesa da democracia""

#Eleições2022 #Eleições2022opovo 
https://t.co…",,"[{'text': 'Eleições2022', 'indices': [93, 106]}, {'text': 'Eleições2022opovo', 'indices': [107, 125]}]","Liderados por Tasso, empresários defendem voto em Lula ""em defesa da democracia""

#Eleições2022 #Eleições2022opovo 
https://t.co/Fil9TBO8sL"
Mon Oct 24 23:59:44 +0000 2022,1584696174954414080,"RT @bchartsnet: 🚨 FANFIC EMERGENCY: desesperados, Bolsonaristas estão espalhando uma fake news de que uma balsa teria sido explodida com el…",CROMATICA ,[],"🚨 FANFIC EMERGENCY: desesperados, Bolsonaristas estão espalhando uma fake news de que uma balsa teria sido explodida com eleitores. A notícia verdadeira é sobre garimpo ilegal (que Bolsonaro adora). #Eleicoes2022 https://t.co/GVxUGVbDZg"
