created_at,id_str,full_text,user.location,entities.hashtags,retweeted_status.full_text
Wed Oct 26 20:26:05 +0000 2022,1585367180165943296,"RT @Carlinh66685715: Assisti Moro e Deltan, no Flow. Reforço: LULA NUNCA MAIS.",Roma,[],"Assisti Moro e Deltan, no Flow. Reforço: LULA NUNCA MAIS."
Wed Oct 26 20:26:05 +0000 2022,1585367180144967680,"RT @SRivoltril: ""Ainnnn sinto falta de mulher na campanha do Lula ""
Tá bom pra vc ou quer mais ?? https://t.co/ENpASoXvGe",Fazenda Rio Grande Paraná,[],"""Ainnnn sinto falta de mulher na campanha do Lula ""
Tá bom pra vc ou quer mais ?? https://t.co/ENpASoXvGe"
Wed Oct 26 20:26:05 +0000 2022,1585367180090445824,@geraldoalckmin @LulaOficial @Haddad_Fernando Lula já presidente do brasil,,[],
Wed Oct 26 20:26:04 +0000 2022,1585367179226419201,RT @bala_luca: @jairmearrependi VOTO EM LULA PORQUE O VÉI DA HAVAN VAI EMBORA DO BRASIL https://t.co/ChhzvdAg0k,"São Vicente, Brasil",[],@jairmearrependi VOTO EM LULA PORQUE O VÉI DA HAVAN VAI EMBORA DO BRASIL https://t.co/ChhzvdAg0k
Wed Oct 26 20:26:04 +0000 2022,1585367178941206528,"RT @GilDoVigor: Eu vim da periferia, pobre, mãe solo e meu acesso a educação superior veio através do governo Lula. Quantos milhões de bras…","Belém, Brasil",[],"Eu vim da periferia, pobre, mãe solo e meu acesso a educação superior veio através do governo Lula. Quantos milhões de brasileiros passaram por isso também? Pelo Gil, que há anos atrás acreditou num governo que acreditou nele de volta, EU SOU 13. ⭐️"
Wed Oct 26 20:26:04 +0000 2022,1585367178593062912,"RT @carlosjordy: Explicando didaticamente como foi a divisão de inserções entre as campanhas de Lula e Bolsonaro. Justo, equilibrado e demo…","Fortaleza, Brasil",[],"Explicando didaticamente como foi a divisão de inserções entre as campanhas de Lula e Bolsonaro. Justo, equilibrado e democrático. SQN!

Bolsonaro 2️⃣2️⃣ https://t.co/79G0Z9M1M5"
Wed Oct 26 20:26:04 +0000 2022,1585367178450468864,Imagina os milionários artistas globais lendo jornaleiros dizendo que eles querem o Lula de volta por causa da lei Rouanet 🤣🤣🤣,,[],
Wed Oct 26 20:26:04 +0000 2022,1585367178345615360,"RT @Jeronimoba13: Obrigado pelo apoio e pela confiança, @simonetebetbr! Feliz em ter você ao nosso lado nessa caminhada, em defesa da democ…",,[],"Obrigado pelo apoio e pela confiança, @simonetebetbr! Feliz em ter você ao nosso lado nessa caminhada, em defesa da democracia e pelo melhor para o povo brasileiro e baiano! Vamos juntos rumo à vitória no dia 30, com Lula presidente e Jerônimo governador! ⭐️ #vote13 https://t.co/1PLE1sV4E6"
Wed Oct 26 20:26:04 +0000 2022,1585367178320449537,RT @floratuitando: VOTO EM LULA PORQUE sou bonita e vamos falar a verdade votar pro outro é 100% coisa de feio,,[],VOTO EM LULA PORQUE sou bonita e vamos falar a verdade votar pro outro é 100% coisa de feio
Wed Oct 26 20:26:04 +0000 2022,1585367178303328256,"RT @folha: Apoiadores de Lula perdem prazo, e só bolsonaristas apresentam pedido para comemorar na Paulista https://t.co/uJtMxszyXB",,[],"Apoiadores de Lula perdem prazo, e só bolsonaristas apresentam pedido para comemorar na Paulista https://t.co/uJtMxszyXB"
Wed Oct 26 20:26:04 +0000 2022,1585367177535725568,"RT @leandroruschel: Processo eleitoral está transcorrendo sob FORTE CENSURA!

https://t.co/mJ9wcnAe61",,[],"Processo eleitoral está transcorrendo sob FORTE CENSURA!

https://t.co/mJ9wcnAe61"
Wed Oct 26 20:26:04 +0000 2022,1585367176923357185,RT @Arthurmachadosp: Falou o porta voz do Lula,,[],Falou o porta voz do Lula https://t.co/QrKYoJLUFJ
